sdnn,lf_hf,hr,rmssd,pnn50,nn50,stress
34.83,3.493264613,97,13.51,0,2,32.39
34.83,3.493264613,97,13.51,0,2,32.39
35.19,3.38474256,97,13.44,0,2,31.56
35.19,3.38474256,98,13.44,0,2,32.05
35.19,3.364123319,99,13.57,0,2,32.4
35.11,3.426548887,100,13.55,0,2,33.39
35.02,3.407961973,102,13.61,0,2,34.28
35.02,3.407961973,103,13.61,0,2,34.8
34.43,3.39060821,102,13.85,0,2,34.14
34.43,3.39060821,102,13.85,0,2,34.14
34.43,3.39060821,102,13.85,0,2,34.14
31.7,3.25730875,101,14.12,0,2,32.6
31.7,3.25730875,101,14.12,0,2,32.6
31.7,3.25730875,100,14.12,0,2,32.09
30.14,3.659931545,100,13.97,0,2,35.19
30.14,3.659931545,100,13.97,0,2,35.19
28.65,3.61269002,100,14.01,0,2,34.82
28.65,3.61269002,101,14.01,0,2,35.34
28.28,3.826394434,102,13.96,0,2,37.52
28.28,3.826394434,102,13.96,0,2,37.52
27.56,3.750773107,102,13.99,0,2,36.93
27,3.348930481,102,13.68,0,2,33.82
26.51,3.91167445,100,13.46,0,2,37.16
26.51,3.91167445,99,13.46,0,2,36.65
26.51,3.91167445,99,13.46,0,2,36.65
26.51,3.91167445,99,13.46,0,2,36.65
26.42,4.068873465,98,13.5,0,2,37.39
26.42,4.068873465,98,13.5,0,2,37.39
25.95,3.931497912,98,13.5,0,2,36.31
25.95,3.931497912,98,13.5,0,2,36.31
25.95,3.931497912,97,13.5,0,2,35.81
26.72,4.568129989,97,13.59,0,2,40.91
26.72,4.568129989,97,13.59,0,2,40.91
26.72,4.568129989,97,13.59,0,2,40.91
26.72,4.568129989,96,13.59,0,2,40.41
26.09,4.229395218,96,13.39,0,0,37.68
25.78,3.775666884,98,13.55,0,0,35.08
25.78,3.775666884,98,13.55,0,0,35.08
25.78,3.775666884,98,13.55,0,0,35.08
25.78,3.775666884,98,13.55,0,0,35.08
25.78,3.775666884,98,13.55,0,0,35.08
25.78,3.775666884,97,13.55,0,0,34.59
25.78,3.775666884,97,13.55,0,0,34.59
26.31,4.22024136,97,13.43,0,0,38.1
26.31,4.22024136,97,13.43,0,0,38.1
26.2,3.850045878,97,13.39,0,0,35.17
26.2,3.850045878,97,13.39,0,0,35.17
26.2,3.850045878,97,13.39,0,0,35.17
26.2,3.850045878,97,13.39,0,0,35.17
25.87,3.960808245,97,13.39,0,0,36.04
25.87,3.960808245,97,13.39,0,0,36.04
25.87,3.960808245,97,13.39,0,0,36.04
26,4.031390135,98,13.42,0,0,37.1
26,4.031390135,97,13.42,0,0,36.6
26.86,4.038633377,97,13.5,0,0,36.66
27.62,4.33783603,95,13.59,0,0,38.06
27.62,4.33783603,95,13.59,0,0,38.06
27.56,4.246597278,96,13.54,0,0,37.82
27.24,4.428814039,96,13.4,0,0,39.28
27.24,4.428814039,97,13.4,0,0,39.78
27.24,4.428814039,97,13.4,0,0,39.78
27.73,4.155837498,100,13.66,0,0,39.1
27.73,4.155837498,100,13.66,0,0,39.1
28.09,4.128035044,101,13.6,0,0,39.39
28.09,4.128035044,101,13.6,0,0,39.39
28.09,4.128035044,102,13.6,0,0,39.91
28.13,4.33381847,102,13.42,0,0,41.55
28.13,4.33381847,102,13.42,0,0,41.55
28.13,4.33381847,102,13.42,0,0,41.55
28.29,4.13323297,102,13.43,0,0,39.95
28.29,4.13323297,102,13.43,0,0,39.95
28.29,4.13323297,101,13.43,0,0,39.43
28.29,4.13323297,101,13.43,0,0,39.43
